"Accept","Acceptez"
"Decline","Déclin"
"Delete my account","Delete my account"
"Delete Account", "Delete Account"
"Cookie Policy", "Politique de cookie"
"GDPR","GDPR"
"Configuration","Configuration"
"Enable","Enable"
"License Key","License Key"
"Enable Customer Account Deletion / Anonymisation","Enable Customer Account Deletion / Anonymization"
"Attention message","Attention message"
"Success message","Success message"
"Email Sender","Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Delete Confirmation Email Template","Delete Confirmation Email Template"
"Cron schedule","Cron schedule"
"Quote expires after (days)","Quote expires after (days)"
"Enable cookie message","Enable cookie message"
"Block access to site until cookie policy is accepted","Block access to site until cookie policy is accepted"
"Page Wrapper Css Class","Page Wrapper Css Class"
"Css class of page wrapper html element. Uses for block customer access until cookie policy is accepted","Css class of page wrapper html element. Uses for block customer access until cookie policy is accepted"
"Cookie text message","Cookie text message"
"Information Page","Information Page"
"Cookie link text","Cookie link text"
"Cookie text color","Cookie text color"
"Cookie link color","Cookie link color"
"Cookie background color","Cookie background color"
"Message Position","Message Position"
"Choose position of the notice message","Choose position of the notice message"
"Please enter license key","Please enter license key"
"If set to ""yes"" then customers can delete their record on frontend from my account section","If set to ""yes"" then customers can delete their record on frontend from my account section"
"The message shown to customer on the front before deleting their account","The message shown to customer on the front before deleting their account"
"The message shown to customers on the frontend after deleting their account. (leave blank for default)", "The message shown to customers on the frontend after deleting their account. (leave blank for default)"
"This email address gets used to send link to customers to delete their account as well as send deletion confirmation email to customers","This email address gets used to send link to customers to delete their account as well as send deletion confirmation email to customers"
"Email template to send email link to customers to delete their account","Email template to send email link to customers to delete their account"
"Email template to send email deletion confirmation to customers after successfully deleting their account", "Email template to send email deletion confirmation to customers after successfully deleting their account"
"Schedule of cron task to set personal data to NULL in sales_flat_quote table", "Schedule of cron task to set personal data to NULL in sales_flat_quote table"
"Number of days to set personal data to NULL in sales_flat_quote table","Number of days to set personal data to NULL in sales_flat_quote table"
"If set to ""yes"" then cookie message will be shown to customers on the frontend","If set to ""yes"" then cookie message will be shown to customers on the frontend"
"If set to ""yes"" then customer access to site will be blocked until cookie policy is accepted. If set to ""no"" then just normal cookie message block will be shown until cookie policy is accepted, but the access to the site will be allowed.","If set to ""yes"" then customer access to site will be blocked until cookie policy is accepted. If set to ""no"" then just normal cookie message block will be shown until cookie policy is accepted, but the access to the site will be allowed."
"This message show in cookie policy area","This message show in cookie policy area"
"Use this page for learn about cookie settings.", "Use this page for learn about cookie settings."
"Text on link to Information Page", "Text on link to Information Page"
"Color of Cookie Text Message", "Color of Cookie Text Message"
"Color of links in cookie policy area", "Color of links in cookie policy area"
"Background color of cookie policy area", "Background color of cookie policy area"
"No customer ID provided.", "No customer ID provided."
"The account has been successfully deleted, and all orders have been anonymised.","The account has been successfully deleted, and all orders have been anonymized."
"Deletion and Anonymisation link has been successfully sent to the customer.","Deletion and Anonymization link has been successfully sent to the customer."
"Delete Personal Data","Delete Personal Data"
"Export Data","Export Data"
"Subscribed","Subscribed"
"Not Active","Not Active"
"Unsubscribed","Unsubscribed"
"Unconfirmed","Unconfirmed"
"Account Deletion Confirmation","Votre demande de suppression de données personnelles"
"As requested we are sending you this email so that you can completely remove your personal data from our website.","Conformément à votre demande, nous vous envoyons ce mail afin de finaliser la suppression de vos données personnelles de notre site. "
"If you haven't requested this then please ignore or remove this email.","Si vous n’êtes pas à l’origine de cette demande, merci d’ignorer ou de supprimer ce message."
"To delete your account and anonymise all transaction data from our website, please click the link below.","Pour supprimer votre compte et anonymiser toutes vos données transactionnelles, cliquez sur le lien ci-dessous : "
"Please note - Once you have marked your data to be deleted or anonymised from our website then your data unfortunately cannot be restored.","Attention : Une fois que vous aurez accepté la suppression et l’anonymisation de vos données personnelles, celles-ci ne pourront plus être restaurées"
