"Accept","Aanvaarden"
"Decline","Afwijzen"
"Delete my account","Delete my account"
"Delete Account", "Delete Account"
"Cookie Policy", "Cookie beleid"
"GDPR","GDPR"
"Configuration","Configuration"
"Enable","Enable"
"License Key","License Key"
"Enable Customer Account Deletion / Anonymisation","Enable Customer Account Deletion / Anonymization"
"Attention message","Attention message"
"Success message","Success message"
"Email Sender","Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Delete Confirmation Email Template","Delete Confirmation Email Template"
"Cron schedule","Cron schedule"
"Quote expires after (days)","Quote expires after (days)"
"Enable cookie message","Enable cookie message"
"Block access to site until cookie policy is accepted","Block access to site until cookie policy is accepted"
"Page Wrapper Css Class","Page Wrapper Css Class"
"Css class of page wrapper html element. Uses for block customer access until cookie policy is accepted","Css class of page wrapper html element. Uses for block customer access until cookie policy is accepted"
"Cookie text message","Cookie text message"
"Information Page","Information Page"
"Cookie link text","Cookie link text"
"Cookie text color","Cookie text color"
"Cookie link color","Cookie link color"
"Cookie background color","Cookie background color"
"Message Position","Message Position"
"Choose position of the notice message","Choose position of the notice message"
"Please enter license key","Please enter license key"
"If set to ""yes"" then customers can delete their record on frontend from my account section","If set to ""yes"" then customers can delete their record on frontend from my account section"
"The message shown to customer on the front before deleting their account","The message shown to customer on the front before deleting their account"
"The message shown to customers on the frontend after deleting their account. (leave blank for default)", "The message shown to customers on the frontend after deleting their account. (leave blank for default)"
"This email address gets used to send link to customers to delete their account as well as send deletion confirmation email to customers","This email address gets used to send link to customers to delete their account as well as send deletion confirmation email to customers"
"Email template to send email link to customers to delete their account","Email template to send email link to customers to delete their account"
"Email template to send email deletion confirmation to customers after successfully deleting their account", "Email template to send email deletion confirmation to customers after successfully deleting their account"
"Schedule of cron task to set personal data to NULL in sales_flat_quote table", "Schedule of cron task to set personal data to NULL in sales_flat_quote table"
"Number of days to set personal data to NULL in sales_flat_quote table","Number of days to set personal data to NULL in sales_flat_quote table"
"If set to ""yes"" then cookie message will be shown to customers on the frontend","If set to ""yes"" then cookie message will be shown to customers on the frontend"
"If set to ""yes"" then customer access to site will be blocked until cookie policy is accepted. If set to ""no"" then just normal cookie message block will be shown until cookie policy is accepted, but the access to the site will be allowed.","If set to ""yes"" then customer access to site will be blocked until cookie policy is accepted. If set to ""no"" then just normal cookie message block will be shown until cookie policy is accepted, but the access to the site will be allowed."
"This message show in cookie policy area","This message show in cookie policy area"
"Use this page for learn about cookie settings.", "Use this page for learn about cookie settings."
"Text on link to Information Page", "Text on link to Information Page"
"Color of Cookie Text Message", "Color of Cookie Text Message"
"Color of links in cookie policy area", "Color of links in cookie policy area"
"Background color of cookie policy area", "Background color of cookie policy area"
"No customer ID provided.", "No customer ID provided."
"The account has been successfully deleted, and all orders have been anonymised.","The account has been successfully deleted, and all orders have been anonymized."
"Deletion and Anonymisation link has been successfully sent to the customer.","Deletion and Anonymization link has been successfully sent to the customer."
"Delete Personal Data","Delete Personal Data"
"Export Data","Export Data"
"Subscribed","Subscribed"
"Not Active","Not Active"
"Unsubscribed","Unsubscribed"
"Unconfirmed","Unconfirmed"
